frame,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14
0,0.822934,0.000026,0.132156,0.001224,0.000061,0.000006,0.000011,0.000008,0.000114,0.000865,0.059542,0.000132,0.000005,0.001769,0.992904
1,0.869311,0.000019,0.128922,0.001940,0.000041,0.000009,0.000010,0.000019,0.000168,0.001110,0.057122,0.000175,0.000007,0.002574,0.984039
2,0.693326,0.000038,0.245792,0.001747,0.000050,0.000010,0.000019,0.000015,0.000123,0.001726,0.166727,0.000166,0.000007,0.003152,0.965068
3,0.743518,0.000099,0.102443,0.004522,0.000045,0.000009,0.000011,0.000009,0.000121,0.001526,0.154520,0.000140,0.000008,0.003439,0.966416
4,0.837444,0.000029,0.111494,0.000272,0.000015,0.000003,0.000005,0.000001,0.000048,0.000116,0.013809,0.000046,0.000002,0.000989,0.997023
5,0.899058,0.000045,0.089623,0.000527,0.000021,0.000004,0.000003,0.000003,0.000059,0.000304,0.019980,0.000059,0.000004,0.002428,0.995119
6,0.933292,0.000017,0.032097,0.000140,0.000039,0.000003,0.000004,0.000002,0.000068,0.000305,0.011052,0.000056,0.000003,0.001410,0.996266
7,0.895290,0.000042,0.053723,0.000374,0.000049,0.000005,0.000004,0.000003,0.000084,0.000289,0.007819,0.000070,0.000004,0.002034,0.997560
8,0.888734,0.000031,0.059709,0.000358,0.000046,0.000004,0.000004,0.000003,0.000080,0.000308,0.009067,0.000066,0.000004,0.001904,0.997091
9,0.002211,0.000004,0.884438,0.197187,0.000253,0.000035,0.000021,0.000491,0.000219,0.000686,0.012914,0.000286,0.000088,0.001127,0.929798
10,0.999919,0.000000,0.000008,0.000030,0.000001,0.000011,0.000013,0.000050,0.001775,0.000374,0.027706,0.000059,0.000027,0.000288,0.000068
11,0.999853,0.000000,0.000006,0.000083,0.000047,0.000025,0.000090,0.000195,0.002615,0.017661,0.084217,0.000243,0.000419,0.000370,0.000096
12,0.994236,0.000007,0.001588,0.000054,0.000005,0.000007,0.000005,0.000690,0.000282,0.000178,0.667267,0.000059,0.000021,0.001013,0.000417
13,0.996816,0.000002,0.000397,0.000009,0.000012,0.000007,0.000002,0.000375,0.000228,0.000172,0.034319,0.000040,0.000022,0.007491,0.000133
14,0.989520,0.000006,0.006942,0.000038,0.000005,0.000009,0.000004,0.001068,0.000260,0.000303,0.804874,0.000091,0.000012,0.001570,0.000604
15,0.991633,0.000004,0.001781,0.000123,0.000008,0.000009,0.000001,0.004072,0.000219,0.000162,0.110086,0.000044,0.000011,0.001821,0.000362
16,0.996356,0.000002,0.000999,0.000024,0.000002,0.000004,0.000003,0.000076,0.000224,0.000210,0.917830,0.000077,0.000005,0.000768,0.000370
17,0.999294,0.000001,0.000667,0.000003,0.000001,0.000002,0.000004,0.000055,0.000317,0.000283,0.957377,0.000109,0.000008,0.000755,0.000759
18,0.996182,0.000003,0.000969,0.000154,0.000019,0.000013,0.000007,0.003825,0.000649,0.001402,0.387200,0.000160,0.000024,0.002542,0.001659
19,0.999233,0.000001,0.000608,0.000017,0.000003,0.000006,0.000009,0.000142,0.001055,0.000990,0.834867,0.000207,0.000031,0.001822,0.000908
20,0.997857,0.000004,0.001793,0.000008,0.000005,0.000005,0.000004,0.006903,0.001343,0.000994,0.678710,0.000121,0.000023,0.003681,0.000901
21,0.996335,0.000005,0.000193,0.000073,0.000034,0.000008,0.000003,0.000044,0.000196,0.000999,0.842658,0.000128,0.000014,0.001834,0.001303
22,0.999043,0.000003,0.000206,0.000055,0.000006,0.000007,0.000001,0.000347,0.000297,0.000539,0.726098,0.000100,0.000012,0.002191,0.001652
23,0.999132,0.000001,0.000285,0.000028,0.000009,0.000007,0.000005,0.000113,0.000455,0.001128,0.799504,0.000193,0.000020,0.002004,0.001275
24,0.993061,0.000003,0.001103,0.000230,0.000006,0.000005,0.000004,0.000028,0.000141,0.000243,0.945844,0.000117,0.000008,0.000972,0.001213
25,0.999617,0.000001,0.000452,0.000005,0.000006,0.000006,0.000004,0.005732,0.001189,0.002529,0.423567,0.000154,0.000034,0.001821,0.001639
26,0.989303,0.000001,0.002216,0.000130,0.000010,0.000008,0.000007,0.000119,0.000384,0.001387,0.751770,0.000184,0.000018,0.002309,0.004780
27,0.998838,0.000001,0.000236,0.000074,0.000005,0.000006,0.000006,0.000077,0.000281,0.000485,0.795772,0.000133,0.000012,0.001066,0.000985
28,0.995708,0.000001,0.002672,0.000018,0.000028,0.000008,0.000019,0.000109,0.000770,0.000738,0.826608,0.000292,0.000026,0.003907,0.001834
29,0.998694,0.000000,0.000719,0.000018,0.000004,0.000004,0.000014,0.000136,0.000804,0.001561,0.662513,0.000190,0.000027,0.001783,0.003077
30,0.997224,0.000002,0.001385,0.000054,0.000013,0.000008,0.000006,0.003899,0.000441,0.001591,0.252402,0.000122,0.000018,0.002800,0.003038
31,0.995464,0.000001,0.000929,0.000028,0.000009,0.000004,0.000007,0.000036,0.000261,0.002781,0.903892,0.000140,0.000009,0.001596,0.001593
32,0.996719,0.000000,0.003855,0.000043,0.000011,0.000007,0.000024,0.000096,0.000947,0.037430,0.622196,0.000272,0.000030,0.001994,0.001214
