frame,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14
0,0.967705,0.000109,0.151884,0.000061,0.000168,0.000011,0.000014,0.000038,0.000184,0.002570,0.082442,0.000216,0.000006,0.002527,0.997110
1,0.977261,0.000079,0.139704,0.000113,0.000104,0.000014,0.000014,0.000092,0.000269,0.003637,0.077418,0.000292,0.000011,0.003573,0.994513
2,0.941387,0.000124,0.246225,0.000107,0.000135,0.000017,0.000025,0.000062,0.000202,0.005484,0.193099,0.000270,0.000012,0.004335,0.986080
3,0.942539,0.000452,0.116902,0.000378,0.000109,0.000014,0.000013,0.000043,0.000199,0.004456,0.143084,0.000227,0.000011,0.005694,0.991332
4,0.976361,0.000163,0.108343,0.000011,0.000043,0.000005,0.000007,0.000003,0.000085,0.000395,0.015857,0.000073,0.000003,0.001543,0.999256
5,0.985179,0.000245,0.096925,0.000021,0.000050,0.000007,0.000005,0.000011,0.000105,0.001190,0.020940,0.000094,0.000006,0.003649,0.998617
6,0.990958,0.000102,0.033552,0.000006,0.000104,0.000005,0.000007,0.000009,0.000125,0.001144,0.015541,0.000092,0.000005,0.002187,0.998994
7,0.982697,0.000273,0.057269,0.000016,0.000169,0.000009,0.000007,0.000013,0.000160,0.001075,0.010553,0.000121,0.000006,0.003525,0.999272
8,0.982734,0.000227,0.067220,0.000014,0.000153,0.000008,0.000007,0.000013,0.000144,0.001107,0.012400,0.000114,0.000005,0.003481,0.999171
9,0.015396,0.000024,0.974172,0.012692,0.000975,0.000110,0.000055,0.004459,0.000414,0.002811,0.016214,0.000618,0.000133,0.002187,0.984168
10,0.999996,0.000000,0.000005,0.000000,0.000001,0.000019,0.000063,0.000478,0.008481,0.002158,0.056252,0.000119,0.000058,0.000249,0.000064
11,0.999990,0.000000,0.000008,0.000001,0.000095,0.000045,0.000370,0.002044,0.008321,0.095337,0.103838,0.000481,0.000835,0.000393,0.000107
12,0.999238,0.000058,0.001591,0.000002,0.000014,0.000018,0.000020,0.008625,0.001032,0.000987,0.781261,0.000127,0.000046,0.001082,0.000419
