frame,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14
0,0.292117,0.000006,0.890970,0.000126,0.000777,0.000932,0.002606,0.004277,0.005916,0.987810,0.026275,0.001215,0.002535,0.001724,0.000929
1,0.795962,0.000013,0.339052,0.000148,0.022800,0.000821,0.002379,0.000611,0.002530,0.975258,0.024509,0.001199,0.003619,0.001488,0.000524
2,0.999570,0.000005,0.001148,0.000001,0.000756,0.000190,0.004828,0.002334,0.020548,0.171937,0.016101,0.001244,0.000778,0.000545,0.000167
3,0.000081,0.000003,0.999724,0.000609,0.000047,0.000032,0.000082,0.009055,0.000311,0.002344,0.005754,0.000342,0.000054,0.001336,0.977561
4,0.000149,0.000002,0.999820,0.000136,0.000028,0.000011,0.000023,0.002423,0.000088,0.002142,0.001914,0.000120,0.000024,0.000941,0.998370
5,0.000015,0.000000,0.999938,0.000662,0.000005,0.000005,0.000017,0.006732,0.000099,0.000786,0.000390,0.000066,0.000020,0.000568,0.991557
6,0.000008,0.000000,0.999988,0.000127,0.000005,0.000002,0.000009,0.015125,0.000073,0.000765,0.000206,0.000030,0.000008,0.000397,0.998538
7,0.000003,0.000001,0.999988,0.000142,0.000006,0.000003,0.000005,0.052672,0.000087,0.000993,0.000133,0.000025,0.000006,0.000297,0.996916
8,0.000034,0.000002,0.999971,0.000112,0.000007,0.000004,0.000008,0.039677,0.000086,0.000902,0.000190,0.000031,0.000006,0.000302,0.998225
9,0.000028,0.000001,0.999978,0.000110,0.000007,0.000002,0.000008,0.011256,0.000050,0.000377,0.000106,0.000023,0.000004,0.000335,0.999663
10,0.000134,0.000001,0.999967,0.000072,0.000011,0.000003,0.000009,0.000341,0.000060,0.000184,0.000475,0.000061,0.000005,0.000571,0.999842
11,0.000017,0.000000,0.999976,0.000498,0.000041,0.000007,0.000021,0.000880,0.000062,0.002734,0.011154,0.000206,0.000030,0.004007,0.998463
12,0.000089,0.000001,0.999929,0.000442,0.000069,0.000013,0.000042,0.000576,0.000094,0.001516,0.002641,0.000345,0.000040,0.013076,0.999356
